,scores
298,-872.4435918248176
299,-729.6627365415459
300,-705.3091464692117
301,-701.5714738882558
302,-772.1916952533234
303,-723.8470417078158
304,-719.857043246133
305,-834.2395919498173
306,-679.858097485257
307,-501.67884941695917
308,-733.4255207008788
309,-729.4742467459746
310,-881.1027026282103
311,-646.633324177576
312,-257.40252697417907
313,-767.791584730652
314,-639.5790793108821
315,-904.1492995217642
316,-809.9311603453916
317,-883.3199189782218
318,-676.5376508769072
319,-980.139791924776
320,-979.0150853694688
321,-862.8406591828531
322,-809.841836517784
323,-713.0561500670356
324,-833.2821650717024
325,-724.7495456149766
326,-659.7537393091777
327,-883.2924525044565
328,-711.3187460147902
329,-755.844106567409
330,-753.3699086705027
331,-736.9266822147132
332,-793.9025816668403
333,-816.0908613131862
334,-773.2571742946475
335,-887.9065809213033
336,-488.00438178833195
337,-854.5775401385304
338,-815.2593117500871
339,-890.8066031520027
340,-716.6808715551679
341,-282.20668010734636
342,-861.170868867151
343,-958.225833337919
344,-663.9402898027425
345,-749.3756835348112
346,-744.4254120512226
347,-763.5395859893044
348,-705.9563227837613
349,-873.253980329564
350,-744.5036622763215
351,-971.0310381538135
352,-863.6496794204606
353,-1019.9272956634494
354,-671.6150210474194
355,-758.5675783326514
356,-687.9336471175579
357,-919.2548954467322
358,-794.1047621450105
359,-812.4331331051561
360,-751.1184986146345
361,-649.5526897542906
362,-694.7213527384553
363,-710.682530889155
364,-948.4308651182613
365,-974.602305495376
366,-800.7497350574583
367,-1062.3965216348502
368,-771.5808530617063
369,-716.5076641043148
370,-1023.4733701585868
371,-834.1610636982766
372,-711.3587210223886
373,-774.7488167383693
374,-384.17710300121956
375,-685.1081179110447
376,-719.0524040686154
377,-848.3307592231579
378,-780.3280202175448
379,-675.0486279559786
380,-904.7617964300902
381,-704.2531674159794
382,-901.6736975204785
383,-846.1201428858641
384,-710.9453948356593
385,-941.5156664300237
386,-839.3729145890237
387,-678.756547204342
388,-838.4123553286349
389,-941.3402729774409
390,-817.2213322141358
391,-854.0180271793499
392,-809.1508736591848
393,-583.4486999989401
394,-768.227467822353
395,-744.1877793352454
396,-760.8998862736127
397,-757.1782845986435
398,-950.5293442525691
399,-886.5711282113105
400,-694.9861463645784
401,-939.0849438183208
402,-740.1012990637199
403,-772.1706011080283
404,-317.3880011562177
405,-846.2980386282503
406,-884.2361279808923
407,-730.6986518236226
408,-663.3926248462049
409,-765.0145425219475
410,-319.8467521631719
411,-458.9555714809675
412,-852.4130204029499
413,-231.34178662644592
414,-741.8976625877152
415,-690.571802883146
416,-789.6926951401922
417,-731.6601385586223
418,-766.0095663445595
419,-865.7540513848714
420,-801.218875066288
421,-855.7490469194131
422,-845.1952072627877
423,-798.7006626575397
424,-204.09132557160424
425,-691.3957757612347
426,-849.8281300993496
427,-864.3045248837057
428,-785.6951904291343
429,-306.86685915710126
430,-816.4680555221616
431,-736.106642348487
432,-821.7517880386584
433,-410.28373909319487
434,-612.4218304186764
435,-742.1309015435412
436,-399.13882644968237
437,-660.5717660967621
438,-754.1275633251784
439,-908.8912403509498
440,-912.6073169613011
441,-717.5769442199205
442,-348.51183528569754
443,-839.13873705484
444,-734.7469067578726
445,-425.2693663912207
446,-738.8446303488421
447,-697.4005212269994
448,-862.1744182489592
449,-927.3641222542011
450,-906.2713954619577
451,-736.6700051552326
452,-816.9941533799881
453,-719.1789672899405
454,-771.3211281354377
455,-915.5450955489539
456,-719.9857370144128
457,-746.9195978668339
458,-762.964081166507
459,-719.6301125412992
460,-732.4045915367009
461,-922.6896819673793
462,-890.4524859274484
463,-673.1580105611429
464,-917.812966332747
465,-784.3138497031259
466,-707.057328998816
467,-818.9666395107522
468,-765.8759052826301
469,-831.3826220332949
470,-480.40832738011045
471,-813.9692768136632
472,-764.5580691859617
473,-686.6597479584032
474,-903.8623448784612
475,-739.9861773541938
476,-735.8662737355812
477,-832.2441335550549
478,-898.7967612660929
479,-822.2518391734286
480,-803.6580950952157
481,-855.1591279796269
482,-736.7432448961772
483,-747.710633010814
484,-816.7700456569462
485,-947.6929460218078
486,-727.8356245475095
487,-933.7467244859461
488,-748.1642863888759
489,-721.2883485242771
490,-666.5223613813065
491,-954.3466950075115
492,-988.6427953522993
493,-670.840494165358
494,-1048.440149715546
495,-810.0344718089804
496,-900.5026498802421
497,-835.3895608865953
498,-684.7633556215112
499,-861.8047088072188
500,-911.1908240527101
501,-739.273888710174
502,-951.559166789875
503,-856.294117022992
504,-737.981871514135
505,-882.3713669176415
506,-741.8339354727487
507,-866.9648782112879
508,-872.9422950442558
509,-371.6798864166404
510,-669.1161914157541
511,-716.766245632321
512,-945.9084374886801
513,-704.7412765550303
514,-726.0937515670706
515,-773.25783417961
516,-797.303314384408
517,-835.7411169710052
518,-834.1380300833853
519,-773.2357072919307
520,-903.7076675382044
521,-655.3382907280823
522,-846.6226733502832
