,scores
898,-56.245700000000475
899,37.26699999999935
900,-43.0645000000001
901,-56.284600000000516
902,72.37330000000004
903,-54.239700000000404
904,72.489
905,81.38240000000003
906,59.015299999999755
907,56.81789999999975
908,-60.98050000000063
909,73.29170000000002
910,-74.72310000000034
911,59.71849999999985
912,84.04410000000006
913,49.51819999999977
914,88.88960000000003
915,86.25120000000004
916,68.19240000000006
917,72.70920000000001
918,57.27329999999977
919,67.05820000000008
920,-45.31610000000018
921,54.30059999999966
922,-76.2945000000002
923,72.7801
924,72.88120000000004
925,71.54020000000003
926,-16.142399999999984
927,-39.867799999999995
928,88.04070000000002
929,70.67780000000005
930,-69.11350000000051
931,86.30250000000004
932,79.46020000000003
933,74.0512
934,46.56059999999944
935,81.80100000000003
936,69.65840000000001
937,67.53040000000006
938,78.79220000000004
939,73.0413
940,53.452399999999635
941,66.75979999999998
942,75.71050000000001
943,88.66910000000003
944,81.12150000000003
945,-64.28770000000067
946,66.3655
947,-92.80969999999986
948,70.4026
949,69.75100000000002
950,67.32390000000004
951,-47.3353000000002
952,52.73869999999955
953,-43.3801000000001
954,79.06300000000002
955,81.40490000000003
956,75.2806
957,-38.62090000000002
958,65.26950000000001
959,66.48070000000001
960,83.54320000000004
961,54.71899999999976
962,-43.53650000000007
963,64.92729999999992
964,-74.12310000000042
965,67.11910000000006
966,67.31450000000004
967,-40.78730000000008
968,87.04930000000003
969,-67.18550000000074
970,48.619899999999475
971,-74.07990000000038
972,72.01000000000002
973,57.75799999999974
974,-72.65660000000038
975,75.97090000000001
976,76.69170000000004
977,61.79869999999985
978,57.258599999999845
979,-60.598900000000455
980,55.53289999999964
981,72.16060000000002
982,89.58160000000002
983,52.037499999999525
984,-83.04990000000015
985,68.22780000000003
986,43.684399999999684
987,63.29009999999998
988,42.84449999999942
989,71.93
990,-59.80570000000066
991,40.56179999999946
992,-72.3441000000004
993,80.85530000000006
994,68.34840000000003
995,59.36069999999985
996,-60.351900000000384
997,73.52960000000004
998,63.905499999999876
999,-60.561300000000614
1000,-51.34280000000027
1001,46.61569999999956
1002,-51.94920000000028
1003,-65.46220000000046
1004,58.70949999999978
1005,52.012199999999595
1006,-120.23369999999989
1007,63.94490000000002
1008,63.057299999999884
1009,61.26600000000003
1010,-74.10250000000048
1011,80.84160000000003
1012,66.97410000000002
1013,50.26459999999956
1014,86.81160000000003
1015,-23.743299999999994
1016,63.9758
1017,50.77819999999961
1018,72.55230000000002
1019,69.67700000000005
1020,57.963699999999704
1021,53.860599999999664
1022,78.99150000000003
1023,-63.4833000000006
1024,45.531699999999404
1025,-66.1493000000006
1026,50.29229999999956
1027,50.04849999999962
1028,75.16150000000002
1029,-59.40010000000067
1030,80.46920000000004
1031,67.14450000000005
1032,72.6295
1033,79.50740000000005
1034,72.95920000000002
1035,-73.13510000000049
1036,56.36199999999965
1037,-68.47690000000057
1038,86.66830000000002
1039,70.2964
1040,73.94940000000001
1041,-53.546900000000306
1042,35.74849999999931
1043,72.13050000000003
1044,38.00389999999975
1045,50.709399999999825
1046,64.07409999999987
1047,-44.33330000000009
1048,54.73899999999966
1049,-90.28909999999996
1050,49.872199999999594
